Hours,Minutes,Dateavg,Depthavg,Tempavg,Salavg
12,41,2021-01-15T12:41:25Z,0.3275,29.605,33.72565393666667
12,42,2021-01-15T12:42:25Z,0.37033333333333335,29.641666666666666,33.69015428833333
12,43,2021-01-15T12:43:25Z,0.32666666666666666,29.65,33.68652971666667
12,44,2021-01-15T12:44:25Z,0.33266666666666667,29.656666666666666,33.45656462666667
12,45,2021-01-15T12:45:25Z,0.35383333333333333,29.636666666666667,33.226379025
12,46,2021-01-15T12:46:25Z,0.3473333333333333,29.556666666666665,33.27461234166667
12,47,2021-01-15T12:47:25Z,0.3476666666666667,29.553333333333335,33.53876214
12,48,2021-01-15T12:48:25Z,0.3501666666666667,29.57,33.63803201666667
12,49,2021-01-15T12:49:25Z,0.33616666666666667,29.576666666666668,33.66885434333334
12,50,2021-01-15T12:50:25Z,0.37533333333333335,29.673333333333332,33.62324128833333
12,51,2021-01-15T12:51:25Z,0.3616666666666667,29.628333333333334,33.661766565
12,52,2021-01-15T12:52:25Z,0.367,29.7,33.633122068333336
12,53,2021-01-15T12:53:25Z,0.378,29.72833333333333,33.628100268333334
12,54,2021-01-15T12:54:25Z,0.3745,29.64,33.649273173333334
12,55,2021-01-15T12:55:25Z,0.33816666666666667,29.381666666666668,33.786947588333334
12,56,2021-01-15T12:56:25Z,0.3595,29.593333333333334,32.41071078666667
12,57,2021-01-15T12:57:25Z,0.37433333333333335,29.706666666666667,33.65906884333334
12,58,2021-01-15T12:58:25Z,0.3476666666666667,29.631666666666668,33.71751929166667
12,59,2021-01-15T12:59:25Z,0.36,29.688333333333333,33.67239324166667
13,0,2021-01-15T13:00:25Z,0.377,29.611666666666665,33.713990695
13,1,2021-01-15T13:01:25Z,0.33283333333333337,29.606666666666666,33.72892792
13,2,2021-01-15T13:02:25Z,0.36416666666666664,29.6,33.732504471666665
13,3,2021-01-15T13:03:25Z,0.38783333333333336,29.605,33.726801895
13,4,2021-01-15T13:04:25Z,0.3645,29.33,33.84207531333333
13,5,2021-01-15T13:05:25Z,0.36033333333333334,29.388333333333335,33.79159061666667
13,6,2021-01-15T13:06:25Z,0.38283333333333336,29.321666666666665,33.832524658333334
13,7,2021-01-15T13:07:25Z,0.378,29.225,33.85513955333333
13,8,2021-01-15T13:08:25Z,0.3535,29.218333333333334,33.861502945
13,9,2021-01-15T13:09:25Z,0.37366666666666665,29.168333333333333,33.87599041666667
13,10,2021-01-15T13:10:25Z,0.394,29.323333333333334,33.893591998333335
13,11,2021-01-15T13:11:25Z,0.36483333333333334,29.473333333333333,33.873144135000004
13,12,2021-01-15T13:12:25Z,0.3625,29.355,33.914676674999995
13,13,2021-01-15T13:13:25Z,0.4171666666666667,29.401666666666667,33.890580375
13,14,2021-01-15T13:14:25Z,0.37933333333333336,29.701666666666668,33.798212928333335
13,15,2021-01-15T13:15:25Z,0.3685,29.816666666666666,33.74143538333333
13,16,2021-01-15T13:16:25Z,0.3745,29.868333333333332,33.701559275
13,17,2021-01-15T13:17:25Z,0.39666666666666667,29.731666666666666,33.732091663333335
13,18,2021-01-15T13:18:25Z,0.37333333333333335,29.751666666666665,33.714822758333334
13,19,2021-01-15T13:19:25Z,0.368,29.781666666666666,33.66703237
13,20,2021-01-15T13:20:25Z,0.36983333333333335,29.778333333333332,33.66061014
13,21,2021-01-15T13:21:25Z,0.38266666666666665,29.596666666666664,33.686678461666666
13,22,2021-01-15T13:22:25Z,0.3745,29.585,33.71289073166667
13,23,2021-01-15T13:23:25Z,0.4058333333333333,29.541666666666668,33.71036144666667
13,24,2021-01-15T13:24:25Z,0.38066666666666665,29.565,28.924185201666667
13,25,2021-01-15T13:25:25Z,0.375,29.721666666666668,33.596736385
13,26,2021-01-15T13:26:25Z,0.3825,29.67,33.58965001666667
13,27,2021-01-15T13:27:25Z,0.39516666666666667,29.736666666666665,33.52912597666666
13,28,2021-01-15T13:28:25Z,0.36966666666666664,29.76,33.492849389999996
13,29,2021-01-15T13:29:25Z,0.38916666666666666,29.753333333333334,33.406902885
13,30,2021-01-15T13:30:25Z,0.37933333333333336,29.725,33.38432779833333
13,31,2021-01-15T13:31:25Z,0.38266666666666665,29.77,33.34356040833333
13,32,2021-01-15T13:32:25Z,0.4036666666666667,29.795,33.272999525
13,33,2021-01-15T13:33:25Z,0.42083333333333334,29.775,33.25507398166667
13,34,2021-01-15T13:34:25Z,0.3646666666666667,29.78,33.202305935
13,35,2021-01-15T13:35:25Z,0.41133333333333333,29.761666666666667,33.146456785
13,36,2021-01-15T13:36:25Z,0.4245,29.814999999999998,33.06460445333333
13,37,2021-01-15T13:37:25Z,0.37466666666666665,29.805,33.02362600666667
13,38,2021-01-15T13:38:25Z,0.37833333333333335,29.751666666666665,32.97905275833333
13,39,2021-01-15T13:39:25Z,0.4073333333333333,29.746666666666666,32.766171735
13,40,2021-01-15T13:40:25Z,0.3845,29.921666666666667,33.70628919833333
13,41,2021-01-15T13:41:25Z,0.3813333333333333,30.181666666666665,33.61429723
13,42,2021-01-15T13:42:25Z,0.40149999999999997,30.411666666666665,33.519797096666665
13,43,2021-01-15T13:43:25Z,0.40149999999999997,30.571666666666665,33.45119100666667
13,44,2021-01-15T13:44:25Z,0.38933333333333336,31,33.309179326666666
13,45,2021-01-15T13:45:25Z,0.4091666666666667,31.178333333333335,33.221308343333334
13,46,2021-01-15T13:46:25Z,0.39916666666666667,31.363333333333333,33.13503354833333
13,47,2021-01-15T13:47:25Z,0.39,31.5,33.04574331166667
13,48,2021-01-15T13:48:25Z,0.3815,31.518333333333334,32.786607376666666
13,49,2021-01-15T13:49:25Z,0.4115,31.828333333333333,32.546038435
13,50,2021-01-15T13:50:25Z,0.38416666666666666,31.83,32.52045670166667
13,51,2021-01-15T13:51:25Z,0.38583333333333336,31.855,32.47652518666666
13,52,2021-01-15T13:52:15Z,0.42925,31.915,32.415955245
